38.262426	46.754392	1
46.754392	57.461653	2
57.772572	68.674157	 3
68.674157	81.927064	4
82.218551	87.951113	5
112.921767	126.330134	6
126.854809	131.285400	 7
149.959952	163.679237	8
164.009588	175.669038	9
176.174280	189.699242	10
189.874133	199.298855	11
199.473747	205.653255	12
232.897502	243.818519	13
244.187735	258.567723	14
263.561854	275.454492	15
280.157136	291.486235	16
295.133719	305.613601	17
332.226768	346.343944	18
346.567566	355.962990	19
375.123352	385.111613	20
385.519694	399.122385	21
399.497710	407.478324	22
407.672648	416.708721	23
429.690224	443.991833	24
465.872733	476.579994	25
476.579994	488.122849	26
488.122849	498.460894	27
511.480612	525.161033	28
525.161033	532.525919	29
563.588108	577.725717	30
577.920042	591.833651	31
596.594593	608.778718	 32
613.406336	623.605651	33
627.977944	639.617961	34
659.697080	665.074426	35
665.171588	678.152441	36
696.263453	708.758496	37
708.797361	713.286249	38
726.189373	739.597740	39
